,title
24,Teddy Geiger And Emily Hampshire Shared The Cutest Post-Engagement Photos
25,When she asked me if I wanted to spend the rest of our lives together I said... YES!
26,7 Things Everyone Who Takes Melatonin Should Know
27,The correct dose of melatonin is three times less than what most people are taking.  
28,"If Youve Done 13/17 Of These Things, Your Name Is Definitely Sarah"
29,WITH. AN. H.  
30,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
31," Remake Poster Just Dropped And It Will Make Every '80s Kid Scream, "
32,You've got a friend in...Chucky?!  
33," Memes That'll Make You Laugh, Then Shake Your Head"
34,I said DON'T SAY IT.  
35,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
36,brunomirandalencastre
37,Fantastic Beasts: The Crimes Of Grindelwald
38, Character Matches Your Personality
39,It's time for you to find out.  
40,xe5x85xacxe9x96x8bxe4xb8xadxe6xadxa2xe6x98xa0xe7x94xbbxe3x80x8cMMRxe3x83xafxe3x82xafxe3x83x81xe3x83xb3xe5x91x8axe7x99xbaxe3x80x8dxe3x80x81xe9x85x8dxe7xb5xa6xe5x85x83xe4xbbxa3xe8xa1xa8xe3x81x8cxe8xacx9dxe7xbdxaa xe7x9bxa3xe7x9dxa3xe3x83xbbxe3x83x97xe3x83xadxe3x83x87xe3x83xa5xe3x83xbcxe3x82xb5xe3x83xbcxe3x81xafxe7x96x91xe7xbexa9xe3x81xabxe5x9bx9exe7xadx94xe3x81x9bxe3x81x9a
41,xe5x85xacxe9x96x8bxe4xb8xadxe6xadxa2xe3x81xabxe3x81xaaxe3x81xa3xe3x81x9fxe3x83x89xe3x82xadxe3x83xa5xe3x83xa1xe3x83xb3xe3x82xbfxe3x83xaaxe3x83xbcxe6x98xa0xe7x94xbbxe3x80x8eMMRxe3x83xafxe3x82xafxe3x83x81xe3x83xb3xe5x91x8axe7x99xbaxe3x80x8fxe3x81xaexe3x80x8cxe4xb8x80xe5xbaxa6xe9x99x90xe3x82x8axe3x81xaexe4xb8x8axe6x98xa0xe4xbcx9axe3x80x8dxe3x81x8c11xe6x9cx8812xe6x97xa5xe3x80x81xe9x96x8bxe5x82xacxe3x81x95xe3x82x8cxe3x81x9fxe3x80x82 xe4xb8x8axe6x98xa0xe4xbcx9axe5x86x92xe9xa0xadxe3x80x81xe5x85xacxe9x96x8bxe4xb8xadxe6xadxa2xe3x82x92xe6xb1xbaxe5xaex9axe3x81x97xe3x81x9fxe9x85x8dxe7xb5xa6xe5x85x83xe3x81xaexe3x83xa6xe3x83x8axe3x82xa4xe3x83x86xe3x83x83xe3x83x89xe3x83x94xe3x83xbcxe3x83x97xe3x83xabxe6xa0xaaxe5xbcx8fxe4xbcx9axe7xa4xbexe4xbbxa3xe8xa1xa8xe3x83xbbxe9x96xa2xe6xa0xb9xe5x81xa5xe6xacxa1xe6xb0x8fxe3x81x8cxe3x82xb9xe3x83x94xe3x83xbcxe3x83x81xe3x81x97xe3x80x81xe3x80x8cxe6x80xa5xe3x81x8dxe3x82x87xe3x80x81xe9x85x8dxe7xb5xa6xe4xbcx9axe7xa4xbexe3x81xaexe7x8bxacxe6x96xadxe3x80x81xe5x8dx98xe7x8bxacxe3x81xaexe5x88xa4xe6x96xadxe3x81xabxe3x82x88xe3x82x8axe5x85xacxe9x96x8bxe3x82x92xe4xb8xadxe6xadxa2xe3x81x95xe3x81x9bxe3x81xa6xe3x81x84xe3x81x9fxe3x81xa0xe3x81x8dxe3x80x81xe9x96xa2xe4xbfx82xe8x80x85xe3x81xaexe3x81xbfxe3x81xaaxe3x81x95xe3x81xbexe3x81xabxe3x81xafxe5xa4x9axe5xa4xa7xe3x81xaaxe3x81x94xe8xbfxb7...
42,Seiichiro Kuchiki seiichiro.kuchiki@buzzfeed.com. Got a confidential tip? Submit it here.
43,Tell Us What You Thought About Season 1 Of 
44,Chilling Adventures Of Sabrina
45,Harvey must be protected at all costs!  
46,Great! You're almost there! Check your inbox and confirm your subscription now!
47,15 Stan Lee Facts That Prove He Was The Greatest Superhero
48,Forever the ultimate superhero!  
49,"Marvel, Behrouz Mehri / AFP / Getty Images According to Marvel, finding spiders "
50, Stan and artist Steve Ditko created Marvel's most globally recognized hero.
0,18 Weird Smells No One Is Openly Willing To Admit They Like
1,Let's be honest xe2x80x94 gasoline smells amazing.  
2,"Fox Why: People just love glue! We were introduced to it at a young age. We would put it on our hands, some kids would eat it, but we all definitely sniffed it."
3,"17 Things You Didn't Know About Libraries, Told To You By Librarians"
4,We can do more than fix the printer!!  
5,Here's What To Know Before You Try KFC's Fried Chicken And Waffles
6,Colonel Sanders is up to something new.  
7,Hannah Loewentheil/BuzzFeed 
8,"It was sort of what you'd expect,"
9,The waffle tasted slightly artificial and too sweet.
10,We Tried Gordon Ramsay's Apple Pie Recipe And Seriously Loved It
11,"If there's anyone who can make a killer apple pie, it's Gordon Ramsay.  "
12,Only People With A Perfect Eye For Food Can Identify If These Things Are Edible Or Not
13,This'll give you trust issues.  
14,16 Stunning Places In Africa You'll Want To Visit ASAP
15,*hops on a flight tomorrow*  
16,Plan A '00s Night Out And We'll Guess Something You Want To Change
17,It was a simpler time in the '00s.  
18,"Getty Images / BuzzFeed Its As/Is week at BuzzFeed Oz! Were focusing on Aussie style and beauty posts for a whole week, click here to check out more."
19,17 Thoughts That Everyone Who Watches The 
20,*Leaves movie theater* *Immediately queues up Queen on Spotify for the rest of the week*  
21,This Is What It Is Like To Be Sexually Harassed At Work
22,"More than 60% of women have been sexually harassed at work in Australia but less than half of them have reported it, a new survey has found.  "
23,"Isha Bassi, Sohan Judge, Jemima Skelley, Michelle Rennex"
24,This Is What Cheap Kmart Makeup Is Actually Like On Different Skin Types
25,Would $2 lipstick actually last a full day?  
26,"Em visita ao TSE, Bolsonaro pede desculpas por exageros da campanha"
27,Nada de reclamar das urnas eletrxc3xb4nicas agora.  
28,23 Facts You Didn't Already Know About Stan Lee
29,The reason why so many characters had same-letter first names and last names (i.e. Peter Parker)? It was a memory device!  
30,I Tried To Find The Best Damn Way To Make Apple Pie
31,Not all pie recipes are created equal.  
32,10 Things That Happened On Season 2 Of 
33, That I Honestly Didn't See Coming
34,::gasp emoji::  
35,"Facebook: relationshippedshow Kat confronted Miyah saying, "
36,"You constantly are bashing him and constantly disrespecting him. And, also saying at the same time, 'I'm going to call my ex-boyfriend as soon as I'm out of here.'"
37,18 Times David And Patrick From 
38, Made My Queer Heart Squeal
39,My heart is crying from so much happiness right now.  
40,Great! You're almost there! Check your inbox and confirm your subscription now!
41,Pick Some Disney Characters And We'll Reveal Which 
42, Character Matches Your Personality
43,Lady and the Tramp is under-appreciated and y'all should go rewatch it. Don't @ me.  
44,"What Gifts Do You Actually Want For The Holidays, Teens?"
45,We need to know.  
46,"MTV You want something useful and kinda adult-ish, nothing too baby-ish, and finding something in-between can be tough."
47,Liam Hemsworth Posted A Heartbreaking Instagram Of The Burned-Down Home He And Miley Cyrus Shared
48,Its been a heartbreaking few days.
49,"Jen Abidor, Nora Dominick"
50,Here Are The Top 50 Episodes Of 
51,Could we BE any more obsessed?  
52,"Warner Brothers Let's kick off the top ten with THREE Thanksgiving episodes in a row. First up, "
53, As punishment for 
54,Grandes artistas do mundo todo homenagearam a maior lenda das HQs e o resultado xc3xa9 incrxc3xadvel
55,"Stan Lee foi lembrado em desenhos de mestres dos quadrinhos dos EUA, da Itxc3xa1lia, do Brasil...  "
0,30 Snuggly Scarves To Wrap Yourself Up In All Winter Long
1,"xe2x99xab Baby, it's cooooold outsiiiiiide! xe2x99xab  "
2,16 Tumblr Posts About Poop To Read While You're On The Toilet
3,People who study poop are called scatologists but I think they should be called turd nerds.
4,29 Pieces Of Furniture You Can Get On Sale At The Home Depot Right Now
5,PSA: The Home Depot sells gorgeous furniture xe2x80x94 and a lot of it is on sale!!!  
6,Which Celebrity Is The Same Height As You?
7,You could totally share clothes.  
8,29 Things You Didn't Know You Could Get At The Home Depot
9,Shop online and avoid those in-store sawdust sneezes!  
10,28 Weird Things You Never Noticed About 
11, But You'll Never Be Able To Unsee Now
12,"In all seven books, Harry Potter only bathes once.  "
13,"GeraltForOverwatch [According to Gamp's Law of Elemental Transformation, the wizards can't actually conjure food from nothing but they could certainly multiply it!]"
14,This $40 Humidifier Will Probably Change How You Sleep Forever
15,"Say goodbye to that dry, scratchy throat you're constantly waking up with.  "
16,This Memory Test Will Make You Question Your Entire Existence
17,"If you pass this test, you're a certified genius.  "
18,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
19,27 Things That'll Help You Level Up Your Life
20,"Little things to make your life easier, better, and happier!  "
21,Order Chinese Takeout In 7 Steps And We'll Give You A Fortune Cookie
22,Here's a little wisdom with your meal.  
23,Romance is dead. H/T r/Tinder.
24,Which Wild Animal Are You Most Like Based On The Vacation You Go On?
25,Adventure is out there!  
26,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
27,13 Of The Rarest Books In The World And Where To Find Them
28,Hint: The answer is always the library.  
29,Answer 6 Questions And We'll Reveal Which Cartoon Bunny You Are
30,"Bunny, rabbit, hare, idk anymore.  "
31,17 Toys That'll Make You Feel Weirder Than They Should
32,Fun fact: Gollum wears fishnet underwear.  
33,9 Surprising Tips And Tricks For Throwing The Ultimate Friendsgiving
34,Keep calm and party on.  
35,"Hannah Loewentheil/BuzzFeed Instead of ground breakfast sausage, I used chicken sausage and chopped it into small pieces. I sautxc3xa9ed the sausage with celery and onion, then add boxed stuffing, cheddar cheese, dried cranberries, chicken broth, and beaten eggs."
36,Tom Hiddleston Just Teased Some Big News About Loki And IDK What To Think Anymore
37,Disney I'm putting 
38," in quotes because most of them just disappeared and ceased to exist, and while it was super upsetting to watch, most of them will probably be back in the 2019 sequel."
39,This Mic Is Perfect For At-Home Karaoke And Other Get-Togethers
40,"Get ready to step up your next night in, get-together, road trip, or family function!  "
41,Kelsea Ballerini Epically Told Off Someone Who Commented On Her Weight
42,"I am a healthy, normal chick, which I pride myself on and work hard for."
0,How Well Can You Guess The Amount Of Calories In Fast Food Fries?
1,*Still drools*  
2,Could You Eat At A Japanese Restaurant Without Embarrassing Yourself?
3,To slurp or not to slurp? That is the question.  
4,People Are Sharing Memories Of Murdered Melbourne Icon Sisto Malaspina
5,Seventy-four-year-old Sisto Malaspina had run Melbourne's Pellegrini's Espresso Bar since 1974.  
6,The White Ribbon Australia Boss Who Said The Agency Was 
7, On Reproductive Rights Claims She's Been Forced Out
8,She says she didn't always 
9," with the board, and wasn't their "
10,.  
11,27 Creepy AF Shows That Might Keep You Up At Night
12,"Just because Halloween is over, doesn't mean our creepy viewing has to end.  "
13,23 Food Examples Of The Mandela Effect Thatll Make You Think Youre In A Parallel Universe
14, is actually spelled 
15,These false memories are known as 
16,"The Mandela effect,"
17, and they're super trippy. Enjoy.
18,26 Things You're Totally Going To Want When It's Freezing Out
19,"Sweater weather is about to become sweater, scarf, hat, and coat weather.  "
20,Can You Score 8/10 On This Ultimate Fast-Food Logo Quiz?
21,How observant are you really?  
22,14 Wild Behind-The-Scenes Facts About Romantic Movies That Must Be Read To Be Believed
23,"From orgasms to Tom Hanks, this list has something for everyone.  "
24,"She did two or three [takes], and she did it kind of weakly...I think she was nervous about having to do it in front of the cast, crew, and everybody,"
25,Here Are Our 13 Favourite Products We Get From Priceline
26,No more wandering the aisles hoping to find something good.  
27,"Farrah Penn, Pablo Valdivia"
28,"If You've Done 30/40 Of These Things, You Belong In Hell"
29,"Sorry. It's true. Just, like, don't be the worst?  "
30,Which Spellman Aunt From 
31,Chilling Adventures Of Sabrina
32,Which Spellman sister are you?  
33,The Woman Arrested Over Australia's Contaminated Strawberries Worked At A Strawberry Farm
34,Police said there had been hundreds of reports of contaminated fruit from across the country.  
35,Please Enjoy These Photos Of The First Eastern Quolls Born On Mainland Australia In Half A Century
36,This program has been 15 years in the making.  
37,I Made A DIY Setting Spray Off Pinterest And It Didn't Work As Well As I Expected
38,Spoiler alert: it was very wet.  
39,We Know How Much Of A Hipster You Are Based On Your General Pants Preferences
40,It's all in the clothing.  
41,"It's As/Is week at BuzzFeed Oz! We're focusing on Aussie style and beauty posts for a whole week, click here to check out more."
42,"Brian Galindo, Dave Stopera"
43,"25 Foods That'll Make Anyone Between The Ages Of 26-39 Say, "
44,I Can Taste It By Just Looking At It
45,Taste the memories!  
46,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
47,29 Things We All Wore In The '00s That Were Probably A Mistake
48,So many useless belts.  
49,Frederick M. Brown / Getty Images AKA cultural appropriation.
50,List The Random Things You Hate And We'll Accurately Predict When You'll Get Married
51,Love is all you need; the rest is just garbage.  
52,"It's Not Spy Agencies' Fault The Bourke St Attack Wasn't Prevented, Peter Dutton Has Said"
53,"ASIO has 400+ investigations and attacks using kitchen knives and gas bottles are harder for agencies to pick up, the home affairs minister has said.  "
54,Home affairs minister Peter Dutton has said it was difficult for police and intelligence agencies to predict an attack like the Bourke St terrorist attack on Friday because of the 
0,"I Love This Tea Kettle, And I Don't Care Who Knows"
1,This one is my favorite part of my whole small kitchen.  
2,"This Is How You Should Eat Pineapple Pizza, And It May Make You Sad"
3,Let's end the debate.  
4,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
5,20 Products On Amazon That'll Make Perfect Gifts
6,"A hand-made aromatherapy gift box, a mini-doughnut maker, cozy boot socks, and 17 other delightful things you can get on Amazon.  "
7,We Know Which Car Breed Matches Your Personality Based On The Luxury Candles You Buy
8,Find the purrfect match!  
9,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
10,Choose An Animal From Each Continent And We'll Tell You The Best Store To Go Black Friday Shopping At
11,We've got you with these deals.  
12,25 Pictures That Are So Damn Dumb But So Damn Funny
13,Turn ya mind off for a minute.  
14,Choose Some Baby Animals And We'll Tell You If You Make Decisions With Your Heart Or Head
15,"Look at these smol, sweet babies.  "
16,26 Stylish Pairs Of Leggings For Anyone Who Refuses To Wear Pants
17,LEGGINGS ARE PANTS. DON'T @ ME.  
18,"Attention World, We Need To Talk About Lionel Richie's Son"
19,Third Richie's a charm.  
20,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
21,Which Famous Bird Are You?
22,"Tweet, tweet.  "
23,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
24,A Doctor Told Jessie J She 
25,Couldn't Have Children
26, And Her Response Will Warm Your Heart
27,It can't become something that defines us.
28,"Michelle Obama And Oprah Surprised 30 School Girls, And Their Reactions Were Heartfelt"
29,Grab the tissues.  
30,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
31,21 Tweets That Are Funny If You Are The Gay Cousin Or Have A Gay Cousin
32,The gay cousin is the most important family member and that's a fact.  
33,Eat A Ton Of Food At Denny's And We'll Tell You What Type Of Shark You Actually Are
34,It's no seacret.  
35,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
36,"25 Products That Are Just Sweet Little Cutie Pies Ready To Be In Your Life, Wow"
37,Give these lil' sweetie pops a good home!  
38, Has Its First Trailer And You're Going To Want To Call Your Mom After Watching It
39,"Baby mine, don't you cry."
40," xe2x80x94 Me, singing along while FULLY crying.  "
41,"Disney Y'all, Batman and the Penguin are back together again, but they've switched roles. Iconic."
42,What Would Your Custom-Made Emoji Look Like?
43,"Finally, you can make your own "
44,drooling sleepy relieved face
45, emoji!  
46,We Can Guess Your Zodiac Sign Based On The Fall Outfit You Build
47,Scorpios LOVE sweater weather.  
48, Movie Moments That Were Pretty Problematic In Hindsight
49,TLDR; Edward Cullen was a creep.  
50,26 Things To Put On Your Desk That'll Have Your Coworkers Saying 
51,"Damn, They're Cool"
0,"Cats Can Actually Follow Human Gaze, According To World-First Research"
1,They're the only animals other than dogs that have been shown to do this.  
2,17 People Who Literally Didn't Know Basic Anatomy
3,I grew up thinking that men were supposed to have three testicles.
4,"These Random Images Will Reveal Five Accurate Facts About You, So Deal With It"
5,I WILL NOT REVEAL MY METHODS.  
6,29 Truths You'll 100% Relate To If You're A Cotton On Employee
7,Nothing will ever beat that sweet staff discount.  
8,"Graciliano Rocha, Tatiana Farah"
9,O tempo fechou algumas vezes no tenso depoimento de Lula no processo do sxc3xadtio
10,"Na primeira aparixc3xa7xc3xa3o desde a prisxc3xa3o, Lula acusou a Lava Jato de tirxc3xa1-lo da eleixc3xa7xc3xa3o e negou que tenha pedido a algum empresxc3xa1rio para reformar o sxc3xadtio que frequentava. Houve arranca-rabos com a juxc3xadza, com procuradores e advogados.  "
11,"Na primeira aparixc3xa7xc3xa3o desde que foi preso em abril, o ex-presidente Luiz Inxc3xa1cio Lula da Silva confrontou procuradores do Ministxc3xa9rio Pxc3xbablico Federal, disse que xc3xa9 vxc3xadtima de uma "
12,20 Bathroom Products That Have No Right To Look This Good
13,You won't be flushing your money down the toilet!  
14,Choose From These Upsetting Food Pics To Reveal Your Favorite Thanksgiving Dish
15,It's gonna get a little weird up in here.  
16,Great! You're almost there! Check your inbox and confirm your subscription now!
17,"This Guy Knocked Over His Girlfriend While Trying To Propose, And You Will Laugh Then Cry"
18,This proposal was a knock-out.  
19,21 Useful Cleaning Gadgets That Actually Do What They Say They Will
20,Save your elbow grease: these gadgets have your back.  
21,Cats' Attempts To Sneak Into Museum Are FOILED Once Again
22,Rude.  
23,Great! The {{categories}} Newsletter{{quantity_prefix}} will be hitting your inbox soon.
24,"Corn Dog Pickles Are A Real Thing, And You Will Want To Eat One Now"
25,Dilly Dogs = life.  
26,"Check out more of Insider Presents' videos, here."
27,A Conservative Website Is Selling A MAGA Building Blocks Set To 
28,Child's play.  
29,Plan A Disney Movie Marathon And We'll Tell You Which 
30,Get your popcorn ready!  
31,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
32,Let's See Which Farm Animal You Actually Are Based On The Acai Bowl You Build
33,Delicious and nutritious!  
34,23 Tweets That ONLY Cat Owners Will Understand
35,"If you've never had a cat, this list is NOT for you.  "
36,"17 Of The Best, Most Wholesome Cat Tweets On The Internet Right Now"
37,Every day should be caturday.  
38,22 Things For Your Home From Amazon That People Actually Swear By
39,These products have improved the homes (and lives) of thousands of people!!  
40,This Abuela Dancing To Reggeaton While Cooking Is Everything You Need In Life
41,It's time to party!  
42,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
43,Which African Animal Are You Based On The Mac 'N' Cheese You Make?
44,It's gonna be grate.  
45,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
46,17 Times People Got Revenge In The Pettiest Way Imaginable
47,"Every day for like three months I went into their account and checked the little box, 'Must change password at next login."
